key,first_temp,last_temp,active_power,reactive_power,time_heating,full_work,full_power,bulk_1,bulk_2,bulk_3,bulk_4,bulk_5,bulk_6,bulk_7,bulk_9,bulk_10,bulk_11,bulk_12,bulk_13,bulk_14,bulk_15,wire_1,wire_2,wire_3,wire_4,wire_6,wire_7,wire_8,wire_9,gas_1
1,1571.0,1613.0,3.03673,2.142821,1098.0,888.9985879433385,4.294584751265249,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,206.0,0.0,150.0,154.0,60.059998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.7499859302
2,1581.0,1602.0,2.139408,1.453357,811.0,559.0128825192493,3.025579809049498,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,206.0,0.0,149.0,154.0,96.052315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5555609779
3,1596.0,1599.0,4.063641,2.937457,655.0,822.7535635053079,5.746856214815367,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,0.0,152.0,153.0,91.160157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5547926192
4,1601.0,1625.0,2.706489,2.056992,741.0,768.9224434923916,3.8275534502135953,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,0.0,153.0,154.0,89.063515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8412192323
5,1576.0,1602.0,2.2529500000000002,1.687991,869.0,582.9112249614523,3.1861524453484646,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,0.0,151.0,152.0,89.238236,9.11456,0.0,0.0,0.0,0.0,0.0,0.0,5.4136918254
6,1543.0,1596.0,2.725274,1.881313,952.0,978.1686534519672,3.854119451982774,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,0.0,201.0,154.0,99.109917,9.11456,0.0,0.0,0.0,0.0,0.0,0.0,11.2733920899
7,1586.0,1599.0,2.626877,1.960419,673.0,695.1573370222285,3.714965080085949,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,0.0,152.0,154.0,98.0616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.836267334
8,1577.0,1598.0,2.6789579999999997,2.096952,913.0,702.2945914430265,3.788618736627902,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,410.0,0.0,252.0,153.0,155.28239399999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1715526741
9,1587.0,1592.0,3.5208199999999996,2.527365,625.0,656.8390381161798,4.979191394674441,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,99.0,203.0,113.393279,9.143681,0.0,0.0,0.0,0.0,0.0,0.0,8.216622633899998
10,1574.0,1593.0,3.118778,2.154941,825.0,620.8968089137492,4.410618145630837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,0.0,102.0,204.0,81.24479600000001,12.376,0.0,0.0,0.0,0.0,0.0,0.0,6.529891037900001
11,1616.0,1597.0,3.00338,2.368925,627.0,487.2437716151755,4.2474207289601065,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,0.0,101.0,202.0,99.197281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.639128173800001
